qcode	tcode	eq	sr	so	bscore	seqi	rmsdp	qlabel	tlabel	ss
A0A142YCA6_C	A0A142YCA6_C	297	1.000	1.000	90.00	100.00	0.00	A0A142YCA6	A0A142YCA6	KAKSI
F5YE54_C	A0A142YCA6_C	56	0.231	0.299	4.31	5.36	2.11	F5YE54	A0A142YCA6	KAKSI
F5YE54_C	F5YE54_C	187	1.000	1.000	45.00	100.00	0.00	F5YE54	F5YE54	KAKSI
A0A225E1Q9_C	A0A142YCA6_C	88	0.154	0.296	19.89	13.64	2.17	A0A225E1Q9	A0A142YCA6	KAKSI
A0A225E1Q9_C	F5YE54_C	115	0.229	0.657	13.01	21.74	1.67	A0A225E1Q9	F5YE54	DSSP
A0A225E1Q9_C	A0A225E1Q9_C	844	1.000	1.000	459.00	100.00	0.00	A0A225E1Q9	A0A225E1Q9	KAKSI
L0DKB6_C	A0A142YCA6_C	59	0.123	0.201	7.70	11.86	2.20	L0DKB6	A0A142YCA6	DSSP
L0DKB6_C	F5YE54_C	99	0.230	0.529	17.54	17.17	1.89	L0DKB6	F5YE54	KAKSI
L0DKB6_C	A0A225E1Q9_C	319	0.421	0.474	82.61	33.54	1.78	L0DKB6	A0A225E1Q9	KAKSI
L0DKB6_C	L0DKB6_C	673	1.000	1.000	333.00	100.00	0.00	L0DKB6	L0DKB6	KAKSI
Q10XQ9_C	A0A142YCA6_C	68	0.240	0.253	7.82	13.24	2.10	Q10XQ9	A0A142YCA6	KAKSI
Q10XQ9_C	F5YE54_C	63	0.286	0.360	8.37	3.17	2.28	Q10XQ9	F5YE54	DSSP
Q10XQ9_C	A0A225E1Q9_C	50	0.090	0.186	4.12	12.00	1.69	Q10XQ9	A0A225E1Q9	KAKSI
Q10XQ9_C	L0DKB6_C	63	0.134	0.234	5.95	7.94	1.50	Q10XQ9	L0DKB6	KAKSI
Q10XQ9_C	Q10XQ9_C	269	1.000	1.000	81.00	100.00	0.00	Q10XQ9	Q10XQ9	KAKSI
A0A432MM10_N	A0A142YCA6_C	78	0.304	0.353	11.81	14.10	1.40	A0A432MM10-N	A0A142YCA6	DSSP
A0A432MM10_N	F5YE54_C	49	0.247	0.280	4.52	12.24	2.31	A0A432MM10-N	F5YE54	DSSP
A0A432MM10_N	A0A225E1Q9_C	64	0.122	0.290	6.43	7.81	2.01	A0A432MM10-N	A0A225E1Q9	DSSP
