S	s	SO	Sq	St	ponderate_RMSD	seqId	combination
270	37.34	46.96	31.00	46.96	1.92	15.93	[(4, 7), (13, 3), (16, 6), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
263	36.38	45.74	30.20	45.74	2.07	16.73	[(4, 8), (12, 3), (15, 10), (25, 3)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
262	36.24	45.57	30.08	45.57	1.92	16.41	[(4, 8), (13, 3), (16, 6), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
261	36.10	45.39	29.97	45.39	1.95	16.09	[(4, 8), (13, 3), (16, 7), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
259	35.82	45.04	29.74	45.04	1.91	15.83	[(4, 8), (12, 4), (16, 9), (25, 3)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
258	35.68	44.87	29.62	44.87	2.05	12.79	[(4, 7), (14, 5), (19, 4), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
256	35.41	44.52	29.39	44.52	1.95	15.62	[(4, 8), (12, 5), (17, 8), (25, 3)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
256	35.41	44.52	29.39	44.52	2.00	12.50	[(4, 7), (13, 6), (19, 4), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
256	35.41	44.52	29.39	44.52	1.95	15.62	[(4, 8), (13, 4), (17, 8), (25, 3)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
249	34.44	43.30	28.59	43.30	2.01	16.06	[(4, 8), (13, 4), (17, 7), (24, 4)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch']
247	34.16	42.96	28.36	42.96	2.00	14.57	[(4, 7), (14, 6), (20, 3), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
246	34.02	42.78	28.24	42.78	2.01	16.26	[(4, 8), (13, 3), (17, 7), (24, 4)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch']
245	33.89	42.61	28.13	42.61	2.12	15.92	[(4, 8), (12, 6), (18, 7), (25, 3)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
244	33.75	42.43	28.01	42.43	2.03	13.93	[(4, 8), (13, 7), (20, 3), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
238	32.92	41.39	27.32	41.39	2.16	14.71	[(4, 8), (13, 3), (16, 8), (24, 4)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch']
237	32.78	41.22	27.21	41.22	2.14	14.77	[(4, 8), (12, 4), (16, 8), (24, 4)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch']
236	32.64	41.04	27.10	41.04	2.05	13.98	[(4, 8), (12, 7), (19, 4), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
229	31.67	39.83	26.29	39.83	2.13	16.59	[(4, 8), (13, 5), (18, 7), (25, 3)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
227	31.40	39.48	26.06	39.48	2.26	16.74	[(4, 8), (12, 3), (15, 9), (24, 4)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch']
226	31.26	39.30	25.95	39.30	2.01	16.37	[(4, 8), (12, 7), (19, 6), (25, 3)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
224	30.98	38.96	25.72	38.96	2.07	14.29	[(4, 8), (12, 8), (20, 3), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp', 'kabsch_icp']
217	30.01	37.74	24.91	37.74	2.18	17.97	[(4, 8), (12, 3), (15, 8), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch', 'kabsch_icp']
214	29.60	37.22	24.57	37.22	2.05	17.29	[(4, 8), (14, 9), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp']
202	27.94	35.13	23.19	35.13	2.21	17.33	[(4, 8), (13, 10), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp']
200	27.66	34.78	22.96	34.78	2.08	15.50	[(4, 8), (12, 10), (23, 5)]	['kabsch_icp', 'kabsch_icp', 'kabsch_icp']
