qcode	tcode	eq	sr	so	bscore	seqi	rmsdp	qlabel	tlabel	ss
A0A142YCA6_N	A0A142YCA6_N	381	1.000	1.000	261.00	100.00	0.00	A0A142YCA6	A0A142YCA6	DSSP
F5YE54_N	A0A142YCA6_N	199	0.578	0.640	134.23	10.55	2.07	F5YE54	A0A142YCA6	KAKSI
F5YE54_N	F5YE54_N	318	1.000	1.000	225.00	100.00	0.00	F5YE54	F5YE54	DSSP
A0A225E1Q9_N	A0A142YCA6_N	149	0.423	0.461	52.05	14.09	1.98	A0A225E1Q9	A0A142YCA6	DSSP
A0A225E1Q9_N	F5YE54_N	159	0.501	0.511	82.15	7.55	1.96	A0A225E1Q9	F5YE54	KAKSI
A0A225E1Q9_N	A0A225E1Q9_N	324	1.000	1.000	198.00	100.00	0.00	A0A225E1Q9	A0A225E1Q9	KAKSI
L0DKB6_M	A0A142YCA6_N	135	0.364	0.370	70.32	9.63	1.76	L0DKB6	A0A142YCA6	KAKSI
L0DKB6_M	F5YE54_N	128	0.379	0.412	76.37	9.38	2.28	L0DKB6	F5YE54	KAKSI
L0DKB6_M	A0A225E1Q9_N	243	0.705	0.750	135.30	23.46	1.81	L0DKB6	A0A225E1Q9	KAKSI
L0DKB6_M	L0DKB6_M	366	1.000	1.000	216.00	100.00	0.00	L0DKB6	L0DKB6	DSSP
Q10XQ9_M	A0A142YCA6_N	258	0.732	0.787	139.08	29.46	1.50	Q10XQ9	A0A142YCA6	KAKSI
Q10XQ9_M	F5YE54_N	235	0.736	0.756	141.18	11.91	1.97	Q10XQ9	F5YE54	KAKSI
Q10XQ9_M	A0A225E1Q9_N	166	0.509	0.512	103.38	13.86	1.84	Q10XQ9	A0A225E1Q9	KAKSI
Q10XQ9_M	L0DKB6_M	162	0.466	0.492	82.14	9.26	1.83	Q10XQ9	L0DKB6	DSSP
Q10XQ9_M	Q10XQ9_M	329	1.000	1.000	234.00	100.00	0.00	Q10XQ9	Q10XQ9	DSSP
A0A432MM10_M	A0A142YCA6_N	216	0.550	0.573	142.75	12.96	1.85	A0A432MM10-M	A0A142YCA6	KAKSI
A0A432MM10_M	F5YE54_N	196	0.544	0.630	129.04	11.73	1.98	A0A432MM10-M	F5YE54	KAKSI
A0A432MM10_M	A0A225E1Q9_N	153	0.417	0.472	90.31	14.38	1.75	A0A432MM10-M	A0A225E1Q9	KAKSI
A0A432MM10_M	L0DKB6_M	134	0.339	0.366	76.90	14.18	1.91	A0A432MM10-M	L0DKB6	DSSP
A0A432MM10_M	Q10XQ9_M	218	0.592	0.665	141.98	9.63	1.81	A0A432MM10-M	Q10XQ9	KAKSI
