	SEC31	SEC13	SEC16	A-COP	BP-COP	E-COP	B-COP	Y-COP	NIC96	NUP85	NUP120	NUP145	NUP170	NUP133	NUP192	NUP188	SEH1	SEA4	IFT172	IFT180	IFT140	IFT122	WDR19	WDR35	VPS41	VPS39	VPS18	VPS11	VPS16	VPS8	VPS3	CHC	AP1_beta	AP1_gamma	importin_beta	importin_alpha	F5YE54	A0A142YCA6	A0A432MM10	A0A225EB47	B9XCU2	A0A225E1Q9	A0A1U7CV43	A0A368KJ79	L0DKB6	Q10XQ9
SEC31	0.0	0.595	0.959	0.722	0.753	0.971	0.965	0.967	0.96	0.961	0.73	0.964	0.765	0.826	0.997	0.991	0.603	0.711	0.797	0.686	0.816	0.742	0.785	0.798	0.716	0.753	0.804	0.729	0.715	0.814	0.821	0.859	0.984	0.99	0.968	0.986	0.669	0.694	0.778	0.838	0.817	0.876	0.86	0.77	0.836	0.758
SEC13	0.595	0.0	0.984	0.669	0.708	1.0	0.988	0.986	1.0	0.978	0.677	0.981	0.796	0.779	1.0	1.0	0.091	0.607	0.794	0.714	0.806	0.709	0.826	0.724	0.633	0.788	0.74	0.663	0.74	0.726	0.696	0.886	1.0	0.991	1.0	1.0	0.618	0.803	0.831	0.733	0.668	0.747	0.691	0.712	0.797	0.744
SEC16	0.959	0.984	0.0	0.982	0.981	0.915	0.983	0.973	0.969	0.974	0.977	0.955	0.979	0.972	0.995	0.995	0.983	0.97	0.989	0.979	0.968	0.968	0.982	0.976	0.957	0.948	0.978	0.967	0.952	0.978	0.974	0.973	0.983	0.964	0.954	0.969	0.982	0.959	0.987	0.965	0.978	0.982	0.97	0.983	0.989	0.989
A-COP	0.722	0.669	0.982	0.0	0.435	0.97	0.976	0.974	0.972	0.969	0.859	0.97	0.794	0.884	0.992	0.994	0.677	0.811	0.662	0.604	0.651	0.565	0.628	0.635	0.747	0.785	0.871	0.746	0.796	0.782	0.882	0.906	0.981	0.955	0.968	0.985	0.737	0.778	0.745	0.858	0.826	0.845	0.853	0.867	0.811	0.795
BP-COP	0.753	0.708	0.981	0.435	0.0	0.943	0.968	0.965	0.98	0.983	0.767	0.976	0.821	0.861	0.994	0.993	0.637	0.708	0.683	0.529	0.591	0.556	0.582	0.549	0.69	0.774	0.699	0.686	0.828	0.744	0.731	0.878	0.973	0.974	0.968	0.983	0.755	0.664	0.73	0.827	0.884	0.811	0.921	0.811	0.832	0.76
E-COP	0.971	1.0	0.915	0.97	0.943	0.0	0.94	0.941	0.969	0.934	0.948	0.966	0.953	0.972	0.966	0.972	1.0	0.967	0.97	0.987	0.967	0.977	0.965	0.971	0.955	0.97	0.945	0.922	0.95	0.972	0.976	0.974	0.902	0.935	0.922	0.862	0.937	0.952	0.957	0.956	0.952	0.983	0.941	0.947	0.974	0.986
B-COP	0.965	0.988	0.983	0.976	0.968	0.94	0.0	0.757	0.962	0.968	0.983	0.968	0.964	0.945	0.964	0.959	0.987	0.979	0.962	0.991	0.937	0.962	0.933	0.962	0.947	0.969	0.957	0.952	0.972	0.916	0.969	0.951	0.856	0.688	0.832	0.943	0.97	0.974	0.964	0.916	0.897	0.937	0.941	0.948	0.948	0.973
Y-COP	0.967	0.986	0.973	0.974	0.965	0.941	0.757	0.0	0.94	0.977	0.972	0.986	0.979	0.984	0.912	0.918	0.987	0.963	0.979	0.996	0.956	0.973	0.945	0.962	0.93	0.935	0.953	0.955	0.968	0.944	0.993	0.958	0.807	0.717	0.888	0.804	0.98	0.98	0.948	0.902	0.92	0.844	0.867	0.881	0.932	0.979
NIC96	0.96	1.0	0.969	0.972	0.98	0.969	0.962	0.94	0.0	0.909	0.925	0.831	0.995	0.98	0.973	0.975	1.0	0.982	0.985	0.977	0.973	0.929	0.976	0.977	0.979	0.942	0.93	0.957	0.979	0.941	0.975	0.985	0.97	0.948	0.979	0.97	0.989	0.977	0.985	0.98	0.976	0.981	0.978	0.984	0.985	0.99
NUP85	0.961	0.978	0.974	0.969	0.983	0.934	0.968	0.977	0.909	0.0	0.971	0.896	0.971	0.965	0.986	0.984	0.979	0.969	0.968	0.984	0.971	0.984	0.962	0.952	0.972	0.967	0.969	0.96	0.971	0.972	0.96	0.971	0.964	0.958	0.955	0.993	0.976	0.975	0.984	0.964	0.961	0.959	0.961	0.971	0.986	0.988
NUP120	0.73	0.677	0.977	0.859	0.767	0.948	0.983	0.972	0.925	0.971	0.0	0.973	0.774	0.766	0.991	0.997	0.73	0.756	0.811	0.731	0.833	0.833	0.845	0.85	0.704	0.821	0.703	0.706	0.702	0.768	0.833	0.852	0.984	0.974	0.977	0.986	0.644	0.838	0.786	0.846	0.813	0.866	0.814	0.855	0.854	0.836
NUP145	0.964	0.981	0.955	0.97	0.976	0.966	0.968	0.986	0.831	0.896	0.973	0.0	0.984	0.978	0.972	0.989	0.984	0.961	0.985	0.986	0.98	0.938	0.981	0.971	0.947	0.954	0.968	0.944	0.984	0.975	0.963	0.966	0.977	0.976	0.984	0.961	0.989	0.978	0.98	0.967	0.979	0.97	0.967	0.974	0.983	0.98
NUP170	0.765	0.796	0.979	0.794	0.821	0.953	0.964	0.979	0.995	0.971	0.774	0.984	0.0	0.745	0.995	0.995	0.74	0.81	0.847	0.749	0.838	0.891	0.867	0.826	0.765	0.864	0.827	0.715	0.714	0.724	0.895	0.903	0.975	0.972	0.978	0.985	0.727	0.811	0.828	0.926	0.852	0.843	0.835	0.835	0.868	0.824
NUP133	0.826	0.779	0.972	0.884	0.861	0.972	0.945	0.984	0.98	0.965	0.766	0.978	0.745	0.0	0.986	0.991	0.707	0.749	0.921	0.76	0.891	0.883	0.846	0.829	0.748	0.829	0.814	0.8	0.702	0.766	0.859	0.809	0.963	0.96	0.973	0.99	0.691	0.731	0.846	0.83	0.825	0.912	0.884	0.82	0.897	0.835
NUP192	0.997	1.0	0.995	0.992	0.994	0.966	0.964	0.912	0.973	0.986	0.991	0.972	0.995	0.986	0.0	0.714	1.0	0.995	0.99	1.0	0.961	0.995	0.989	0.986	0.983	0.993	0.987	0.984	0.986	0.989	0.994	0.978	0.947	0.904	0.912	0.829	0.986	0.996	0.995	0.971	0.979	0.947	0.939	0.951	0.985	0.992
NUP188	0.991	1.0	0.995	0.994	0.993	0.972	0.959	0.918	0.975	0.984	0.997	0.989	0.995	0.991	0.714	0.0	1.0	1.0	0.993	1.0	0.983	0.992	0.987	0.985	0.984	0.97	0.989	0.99	0.993	0.969	0.983	0.974	0.911	0.927	0.901	0.895	0.978	0.997	0.995	0.962	0.968	0.96	0.982	0.978	0.969	0.997
SEH1	0.603	0.091	0.983	0.677	0.637	1.0	0.987	0.987	1.0	0.979	0.73	0.984	0.74	0.707	1.0	1.0	0.0	0.741	0.82	0.625	0.825	0.708	0.796	0.788	0.633	0.702	0.635	0.651	0.656	0.703	0.688	0.848	1.0	1.0	1.0	1.0	0.546	0.626	0.84	0.877	0.653	0.819	0.684	0.699	0.789	0.784
SEA4	0.711	0.607	0.97	0.811	0.708	0.967	0.979	0.963	0.982	0.969	0.756	0.961	0.81	0.749	0.995	1.0	0.741	0.0	0.802	0.787	0.853	0.743	0.793	0.766	0.718	0.793	0.747	0.697	0.839	0.842	0.743	0.834	0.975	0.97	0.985	0.985	0.765	0.664	0.805	0.828	0.794	0.786	0.82	0.779	0.883	0.848
IFT172	0.797	0.794	0.989	0.662	0.683	0.97	0.962	0.979	0.985	0.968	0.811	0.985	0.847	0.921	0.99	0.993	0.82	0.802	0.0	0.599	0.714	0.608	0.692	0.691	0.809	0.877	0.875	0.845	0.835	0.863	0.819	0.826	0.972	0.952	0.969	0.976	0.811	0.777	0.84	0.87	0.852	0.849	0.868	0.862	0.924	0.881
IFT180	0.686	0.714	0.979	0.604	0.529	0.987	0.991	0.996	0.977	0.984	0.731	0.986	0.749	0.76	1.0	1.0	0.625	0.787	0.599	0.0	0.56	0.514	0.555	0.534	0.706	0.77	0.708	0.695	0.753	0.777	0.753	0.866	0.979	1.0	0.98	0.994	0.753	0.741	0.698	0.832	0.814	0.805	0.832	0.806	0.873	0.829
IFT140	0.816	0.806	0.968	0.651	0.591	0.967	0.937	0.956	0.973	0.971	0.833	0.98	0.838	0.891	0.961	0.983	0.825	0.853	0.714	0.56	0.0	0.624	0.46	0.665	0.805	0.813	0.816	0.806	0.832	0.818	0.863	0.864	0.953	0.92	0.963	0.975	0.823	0.736	0.752	0.858	0.91	0.886	0.841	0.853	0.829	0.823
