qcode	tcode	eq	sr	so	bscore	seqi	rmsdp	qlabel	tlabel	ss
P38968	P38968	1248	1.000	1.000	495.00	100.00	0.00	SEC31	SEC31	KAKSI
Q04491	P38968	204	0.268	0.739	134.77	16.67	1.61	SEC13	SEC31	KAKSI
Q04491	Q04491	278	1.000	1.000	171.00	100.00	0.00	SEC13	SEC13	DSSP
P48415	P38968	109	0.135	0.294	13.20	22.02	1.50	SEC16	SEC31	KAKSI
P48415	Q04491	21	0.065	0.076	2.59	14.29	1.60	SEC16	SEC13	KAKSI
P48415	P48415	371	1.000	1.000	153.00	100.00	0.00	SEC16	SEC16	KAKSI
P53622	P38968	388	0.335	0.353	177.86	15.72	1.67	A-COP	SEC31	DSSP
P53622	Q04491	217	0.305	0.786	157.79	21.66	1.51	A-COP	SEC13	KAKSI
P53622	P48415	72	0.098	0.195	8.31	11.11	2.03	A-COP	SEC16	DSSP
P53622	P53622	1147	1.000	1.000	783.00	100.00	0.00	A-COP	A-COP	KAKSI
P41811	P38968	342	0.344	0.445	133.59	14.62	1.59	BP-COP	SEC31	DSSP
P41811	Q04491	211	0.400	0.764	110.23	19.91	1.38	BP-COP	SEC13	KAKSI
P41811	P48415	85	0.148	0.229	7.06	18.82	1.59	BP-COP	SEC16	KAKSI
P41811	P53622	621	0.645	0.797	386.15	23.03	1.67	BP-COP	A-COP	KAKSI
P41811	P41811	779	1.000	1.000	585.00	100.00	0.00	BP-COP	BP-COP	KAKSI
P40509	P38968	103	0.137	0.360	8.94	14.56	2.21	E-COP	SEC31	DSSP
P40509	Q04491	0	0.000	0.000	0.00	0.00	10.00	E-COP	SEC13	KAKSI
P40509	P48415	124	0.378	0.434	11.46	8.87	2.23	E-COP	SEC16	DSSP
P40509	P53622	104	0.150	0.364	13.45	12.50	1.90	E-COP	A-COP	DSSP
P40509	P41811	68	0.129	0.238	20.01	7.35	2.16	E-COP	BP-COP	DSSP
P40509	P40509	290	1.000	1.000	117.00	100.00	0.00	E-COP	E-COP	KAKSI
P41810	P38968	160	0.147	0.172	17.19	11.25	2.12	B-COP	SEC31	KAKSI
P41810	Q04491	24	0.040	0.087	4.03	4.17	1.90	B-COP	SEC13	KAKSI
P41810	P48415	84	0.130	0.227	5.33	11.90	2.02	B-COP	SEC16	DSSP
P41810	P53622	162	0.160	0.176	14.99	11.73	2.18	B-COP	A-COP	DSSP
P41810	P41811	97	0.113	0.125	16.97	8.25	2.21	B-COP	BP-COP	KAKSI
P41810	P40509	115	0.190	0.402	18.23	13.91	2.35	B-COP	E-COP	DSSP
P41810	P41810	931	1.000	1.000	486.00	100.00	0.00	B-COP	B-COP	KAKSI
P32074	P38968	115	0.106	0.124	16.22	10.43	2.37	Y-COP	SEC31	KAKSI
P32074	Q04491	35	0.059	0.126	4.75	2.86	1.88	Y-COP	SEC13	DSSP
P32074	P48415	97	0.150	0.261	8.80	11.34	2.11	Y-COP	SEC16	KAKSI
P32074	P53622	103	0.099	0.111	16.60	5.83	2.25	Y-COP	A-COP	KAKSI
P32074	P41811	109	0.128	0.140	19.02	11.01	2.23	Y-COP	BP-COP	KAKSI
P32074	P40509	132	0.217	0.455	18.11	5.30	2.33	Y-COP	E-COP	KAKSI
P32074	P41810	499	0.543	0.546	119.43	15.23	1.79	Y-COP	B-COP	DSSP
P32074	P32074	924	1.000	1.000	495.00	100.00	0.00	Y-COP	Y-COP	KAKSI
P34077	P38968	137	0.136	0.171	16.28	12.41	2.23	NIC96	SEC31	DSSP
P34077	Q04491	0	0.000	0.000	0.00	0.00	10.00	NIC96	SEC13	KAKSI
