	A0A142YCA6	F5YE54	A0A225E1Q9	L0DKB6	Q10XQ9	A0A432MM10-M	A0A432MM10-C	SEC31	SEC13	SEH1	SEA4	COPA	COPBP	NUP120	NUP170	NUP133	IFT172	IFT180	IFT140	IFT122	WDR19	WDR35	VPS41	VPS39	VPS18	VPS11	VPS16	VPS8	VPS3	CHC	Tachilectin-2
A0A142YCA6	0.0	0.448	0.773	0.705	0.438	0.423	0.432	0.651	0.741	0.509	0.564	0.678	0.586	0.652	0.538	0.511	0.545	0.565	0.588	0.544	0.523	0.595	0.569	0.626	0.548	0.587	0.418	0.64	0.45	0.55	0.74
F5YE54	0.448	0.0	0.612	0.654	0.385	0.438	0.356	0.465	0.565	0.453	0.535	0.655	0.702	0.411	0.503	0.453	0.563	0.7	0.713	0.746	0.538	0.687	0.343	0.57	0.477	0.474	0.332	0.362	0.402	0.544	0.756
A0A225E1Q9	0.773	0.612	0.0	0.346	0.521	0.582	0.793	0.628	0.402	0.572	0.427	0.69	0.679	0.673	0.684	0.672	0.858	0.637	0.749	0.664	0.764	0.721	0.558	0.707	0.62	0.567	0.655	0.646	0.562	0.601	0.732
L0DKB6	0.705	0.654	0.346	0.0	0.635	0.658	0.694	0.648	0.45	0.361	0.615	0.732	0.676	0.601	0.625	0.583	0.692	0.691	0.76	0.688	0.793	0.755	0.703	0.569	0.842	0.557	0.686	0.693	0.679	0.575	0.615
Q10XQ9	0.438	0.385	0.521	0.635	0.0	0.393	0.443	0.355	0.339	0.442	0.56	0.535	0.508	0.548	0.606	0.524	0.507	0.652	0.605	0.638	0.625	0.681	0.389	0.614	0.77	0.371	0.461	0.495	0.467	0.473	0.767
A0A432MM10-M	0.423	0.438	0.582	0.658	0.393	0.0	0.434	0.398	0.38	0.37	0.455	0.61	0.678	0.484	0.527	0.492	0.579	0.578	0.675	0.609	0.672	0.684	0.433	0.505	0.542	0.389	0.482	0.626	0.605	0.452	0.666
A0A432MM10-C	0.432	0.356	0.793	0.694	0.443	0.434	0.0	0.704	0.717	0.624	0.757	0.692	0.567	0.741	0.686	0.622	0.601	0.629	0.676	0.579	0.654	0.671	0.68	0.727	0.546	0.482	0.567	0.464	0.635	0.553	0.749
SEC31	0.651	0.465	0.628	0.648	0.355	0.398	0.704	0.0	0.363	0.374	0.449	0.537	0.538	0.498	0.521	0.58	0.555	0.558	0.667	0.537	0.608	0.593	0.478	0.552	0.455	0.427	0.42	0.574	0.441	0.419	0.747
SEC13	0.741	0.565	0.402	0.45	0.339	0.38	0.717	0.363	0.0	0.091	0.326	0.506	0.645	0.474	0.547	0.501	0.571	0.667	0.775	0.537	0.759	0.59	0.404	0.635	0.553	0.476	0.563	0.404	0.468	0.627	0.667
SEH1	0.509	0.453	0.572	0.361	0.442	0.37	0.624	0.374	0.091	0.0	0.579	0.518	0.558	0.515	0.541	0.483	0.548	0.563	0.734	0.535	0.7	0.666	0.4	0.489	0.52	0.327	0.421	0.354	0.454	0.523	0.581
SEA4	0.564	0.535	0.427	0.615	0.56	0.455	0.757	0.449	0.326	0.579	0.0	0.71	0.572	0.498	0.604	0.457	0.596	0.557	0.691	0.59	0.607	0.619	0.392	0.644	0.462	0.285	0.657	0.422	0.432	0.387	0.678
COPA	0.678	0.655	0.69	0.732	0.535	0.61	0.692	0.537	0.506	0.518	0.71	0.0	0.274	0.63	0.635	0.622	0.412	0.46	0.459	0.306	0.417	0.515	0.568	0.632	0.565	0.566	0.578	0.561	0.836	0.71	0.782
COPBP	0.586	0.702	0.679	0.676	0.508	0.678	0.567	0.538	0.645	0.558	0.572	0.274	0.0	0.618	0.697	0.695	0.4	0.428	0.424	0.35	0.379	0.382	0.559	0.713	0.55	0.529	0.572	0.555	0.586	0.545	0.754
NUP120	0.652	0.411	0.673	0.601	0.548	0.484	0.741	0.498	0.474	0.515	0.498	0.63	0.618	0.0	0.456	0.479	0.63	0.618	0.653	0.662	0.695	0.758	0.431	0.663	0.443	0.428	0.427	0.461	0.483	0.639	0.691
NUP170	0.538	0.503	0.684	0.625	0.606	0.527	0.686	0.521	0.547	0.541	0.604	0.635	0.697	0.456	0.0	0.497	0.656	0.608	0.697	0.765	0.753	0.696	0.47	0.768	0.617	0.417	0.496	0.466	0.5	0.82	0.679
NUP133	0.511	0.453	0.672	0.583	0.524	0.492	0.622	0.58	0.501	0.483	0.457	0.622	0.695	0.479	0.497	0.0	0.612	0.638	0.687	0.645	0.694	0.68	0.466	0.534	0.509	0.542	0.406	0.453	0.772	0.399	0.755
IFT172	0.545	0.563	0.858	0.692	0.507	0.579	0.601	0.555	0.571	0.548	0.596	0.412	0.4	0.63	0.656	0.612	0.0	0.371	0.429	0.372	0.476	0.465	0.579	0.744	0.567	0.658	0.721	0.581	0.606	0.547	0.726
IFT180	0.565	0.7	0.637	0.691	0.652	0.578	0.629	0.558	0.667	0.563	0.557	0.46	0.428	0.618	0.608	0.638	0.371	0.0	0.435	0.318	0.438	0.455	0.577	0.66	0.545	0.516	0.609	0.573	0.722	0.6	0.815
IFT140	0.588	0.713	0.749	0.76	0.605	0.675	0.676	0.667	0.775	0.734	0.691	0.459	0.424	0.653	0.697	0.687	0.429	0.435	0.0	0.421	0.291	0.589	0.694	0.713	0.676	0.868	0.696	0.722	0.772	0.783	0.845
IFT122	0.544	0.746	0.664	0.688	0.638	0.609	0.579	0.537	0.537	0.535	0.59	0.306	0.35	0.662	0.765	0.645	0.372	0.318	0.421	0.0	0.422	0.365	0.55	0.616	0.58	0.507	0.667	0.562	0.599	0.769	0.745
WDR19	0.523	0.538	0.764	0.793	0.625	0.672	0.654	0.608	0.759	0.7	0.607	0.417	0.379	0.695	0.753	0.694	0.476	0.438	0.291	0.422	0.0	0.452	0.766	0.745	0.675	0.696	0.739	0.773	0.719	0.678	0.763
WDR35	0.595	0.687	0.721	0.755	0.681	0.684	0.671	0.593	0.59	0.666	0.619	0.515	0.382	0.758	0.696	0.68	0.465	0.455	0.589	0.365	0.452	0.0	0.593	0.674	0.593	0.585	0.754	0.77	0.704	0.839	0.821
VPS41	0.569	0.343	0.558	0.703	0.389	0.433	0.68	0.478	0.404	0.4	0.392	0.568	0.559	0.431	0.47	0.466	0.579	0.577	0.694	0.55	0.766	0.593	0.0	0.47	0.432	0.301	0.453	0.355	0.724	0.409	0.753
VPS39	0.626	0.57	0.707	0.569	0.614	0.505	0.727	0.552	0.635	0.489	0.644	0.632	0.713	0.663	0.768	0.534	0.744	0.66	0.713	0.616	0.745	0.674	0.47	0.0	0.627	0.386	0.477	0.524	0.466	0.605	0.728
VPS18	0.548	0.477	0.62	0.842	0.77	0.542	0.546	0.455	0.553	0.52	0.462	0.565	0.55	0.443	0.617	0.509	0.567	0.545	0.676	0.58	0.675	0.593	0.432	0.627	0.0	0.277	0.33	0.392	0.372	0.293	0.55
VPS11	0.587	0.474	0.567	0.557	0.371	0.389	0.482	0.427	0.476	0.327	0.285	0.566	0.529	0.428	0.417	0.542	0.658	0.516	0.868	0.507	0.696	0.585	0.301	0.386	0.277	0.0	0.37	0.311	0.35	0.368	0.646
VPS16	0.418	0.332	0.655	0.686	0.461	0.482	0.567	0.42	0.563	0.421	0.657	0.578	0.572	0.427	0.496	0.406	0.721	0.609	0.696	0.667	0.739	0.754	0.453	0.477	0.33	0.37	0.0	0.437	0.378	0.387	0.621
VPS8	0.64	0.362	0.646	0.693	0.495	0.626	0.464	0.574	0.404	0.354	0.422	0.561	0.555	0.461	0.466	0.453	0.581	0.573	0.722	0.562	0.773	0.77	0.355	0.524	0.392	0.311	0.437	0.0	0.433	0.433	0.777
VPS3	0.45	0.402	0.562	0.679	0.467	0.605	0.635	0.441	0.468	0.454	0.432	0.836	0.586	0.483	0.5	0.772	0.606	0.722	0.772	0.599	0.719	0.704	0.724	0.466	0.372	0.35	0.378	0.433	0.0	0.411	0.667
CHC	0.55	0.544	0.601	0.575	0.473	0.452	0.553	0.419	0.627	0.523	0.387	0.71	0.545	0.639	0.82	0.399	0.547	0.6	0.783	0.769	0.678	0.839	0.409	0.605	0.293	0.368	0.387	0.433	0.411	0.0	0.524
Tachilectin-2	0.74	0.756	0.732	0.615	0.767	0.666	0.749	0.747	0.667	0.581	0.678	0.782	0.754	0.691	0.679	0.755	0.726	0.815	0.845	0.745	0.763	0.821	0.753	0.728	0.55	0.646	0.621	0.777	0.667	0.524	0.0
